time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,0.963
2019-01-01 01:00,2019-01-01 02:00,0.975
2019-01-01 02:00,2019-01-01 03:00,0.984
2019-01-01 03:00,2019-01-01 04:00,0.990
2019-01-01 04:00,2019-01-01 05:00,0.991
2019-01-01 05:00,2019-01-01 06:00,0.991
2019-01-01 06:00,2019-01-01 07:00,0.991
2019-01-01 07:00,2019-01-01 08:00,0.988
2019-01-01 08:00,2019-01-01 09:00,0.980
2019-01-01 09:00,2019-01-01 10:00,0.965
2019-01-01 10:00,2019-01-01 11:00,0.937
2019-01-01 11:00,2019-01-01 12:00,0.907
2019-01-01 12:00,2019-01-01 13:00,0.910
2019-01-01 13:00,2019-01-01 14:00,0.937
2019-01-01 14:00,2019-01-01 15:00,0.967
2019-01-01 15:00,2019-01-01 16:00,0.984
2019-01-01 16:00,2019-01-01 17:00,0.991
2019-01-01 17:00,2019-01-01 18:00,0.991
2019-01-01 18:00,2019-01-01 19:00,0.990
2019-01-01 19:00,2019-01-01 20:00,0.991
2019-01-01 20:00,2019-01-01 21:00,0.990
2019-01-01 21:00,2019-01-01 22:00,0.988
2019-01-01 22:00,2019-01-01 23:00,0.986
2019-01-01 23:00,2019-01-02 00:00,0.984
