Fold,Scheme,In_Sample_Scenarios,Out_Of_Sample_Scenarios,In_Sample_Expected_Profit_EUR,Out_Of_Sample_Expected_Profit_EUR,Generalization_Gap_EUR,Solve_Time_Seconds
1,One-price,200,1400,403593.17482851655,396851.701700295,6741.47312822158,0.07193558296421543
1,Two-price,200,1400,354781.7245157609,347937.96914919507,6843.755366565834,0.012420582992490381
2,One-price,200,1400,388340.0856439984,399030.71444094036,-10690.62879694195,0.049914499977603555
2,Two-price,200,1400,339994.6251933014,350091.05929874623,-10096.434105444816,0.01209391700103879
3,One-price,200,1400,440292.8195670051,391147.70609479677,49145.11347220832,0.050364458991680294
3,Two-price,200,1400,385719.0447832869,343424.0975881736,42294.947195113346,0.012028625002130866
4,One-price,200,1400,385825.8110124006,399188.1232454543,-13362.312233053672,0.05338491703150794
4,Two-price,200,1400,337325.5159368093,350349.74346195377,-13024.227525144466,0.012537750008050352
5,One-price,200,1400,430196.17008900136,390005.25739522575,40190.91269377561,0.052361999987624586
5,Two-price,200,1400,375348.0174832344,344889.84811154415,30458.169371690252,0.012639958004001528
6,One-price,200,1400,344930.8385867939,404726.63096696953,-59795.79238017561,0.05139162496197969
6,Two-price,200,1400,300352.6151077313,355490.0772741941,-55137.46216646279,0.012153874966315925
7,One-price,200,1400,382027.61983858596,398652.4261452851,-16624.806306699116,0.050863082986325026
7,Two-price,200,1400,334582.1084481196,350808.3087854796,-16226.200337359973,0.01214791601523757
8,One-price,200,1400,416032.8719142796,393492.4562773289,22540.415636950696,0.05080529203405604
8,Two-price,200,1400,364756.87099894125,346304.08559535275,18452.785403588496,0.012093833007384092
