Fold,Scheme,Beta,In_Sample_Expected_Profit_EUR,In_Sample_CVaR_EUR,Out_Of_Sample_Expected_Profit_EUR,Out_Of_Sample_CVaR_EUR,Out_Of_Sample_Profit_Std_EUR,Mean_Offer_MW,Offer_Std_MW,Solve_Time_Seconds
1,One-price,1.0,403586.79704145895,40998.51213249352,396786.8104706509,26951.978843294775,308179.29962609464,113.16431780006359,203.02747580615585,0.006532708008307964
1,Two-price,1.0,354479.6410700943,33239.36535097884,347956.3164319219,23409.23610869364,276083.2303746936,124.26354105098211,103.09041020495673,0.265675958013162
2,One-price,1.0,388140.52826899843,23751.92178589899,398706.1781552261,29458.158240507128,308767.8600286905,145.83333333333334,227.26483572157738,0.007301957986783236
2,Two-price,1.0,339735.76005293825,20567.025855757136,349794.78597171424,25549.194229973768,276152.30839418474,122.68252040063594,103.23887911189702,0.19257570803165436
3,One-price,1.0,439768.5519316171,44749.44376021039,389886.6041725039,27156.540930868687,302222.98140032194,171.4464844769035,226.28773957110198,0.00926504097878933
3,Two-price,1.0,385323.468303449,36805.787176726946,343158.83315262967,23833.72630151193,270604.1710368961,112.75467862984702,101.70575338549051,0.19119479099754244
4,One-price,1.0,385825.81101240055,22845.9061593741,399188.12324545434,30576.94798518172,307971.8499103105,125.0,216.50635094610965,0.006694832991342992
4,Two-price,1.0,337283.6669743229,20217.13177996694,350374.50309822476,26009.400152472743,276932.8987128918,129.50931659587727,107.12141069274965,0.15720866702031344
5,One-price,1.0,429782.2317374261,45613.77025514175,391169.8330862897,26578.02855443491,303858.76449006714,200.83113399069987,238.9920613837528,0.006311916979029775
5,Two-price,1.0,375052.4108306947,38059.276663319964,344752.436549365,23368.806682121067,272498.35442775255,117.983287037286,106.27672100559644,0.2024464170099236
6,One-price,1.0,344930.83858679386,27957.84630590559,404726.63096696965,28358.534295069214,310960.5096527737,166.66666666666666,235.70226039551585,0.008641541993711144
6,Two-price,1.0,300325.9070133559,24401.919343037378,355519.02151868434,24845.258245529145,277208.30513567285,112.08658930232343,102.81643596920928,0.1803939170204103
7,One-price,1.0,381962.6785852661,25905.369546815335,397713.493241651,28759.23833734488,309650.1446718352,210.96439488473686,244.59523788266617,0.007567957974970341
7,Two-price,1.0,334413.0404682703,21863.327625901886,350354.6407454465,25288.298501703262,276487.870591673,106.73379926612513,96.73356569311142,0.20462224999209866
8,One-price,1.0,416032.8719142795,23895.52907263302,393492.4562773289,28577.865248645943,305863.31736992666,229.16666666666666,249.1304321479458,0.006321708031464368
8,Two-price,1.0,364719.03176007286,21260.41327058351,346370.6275630431,24607.277929271615,276676.7833224681,146.82435284383766,106.75963555236673,0.12963112501893193
