Scheme,Beta,In_Expected_EUR,In_CVaR_EUR,In_Std_EUR,Out_Expected_EUR,Out_CVaR_EUR,Out_Std_EUR,Out_Min_EUR,Out_Max_EUR
One-price,0.0,403593.17482851655,40892.584225324215,303515.0861465444,396851.701700295,27014.09333095937,308108.43461276975,3540.234756996466,1638366.6161313932
One-price,0.1,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,0.25,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,0.5,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,1.0,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,2.0,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,4.0,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,6.0,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322243,1641783.6648995047
One-price,8.0,403345.533962403,41036.13813042707,303275.9971968286,396609.4076227103,26973.1087071077,308229.50676200807,3418.7009386938817,1639955.6219743895
One-price,10.0,403345.533962403,41036.13813042707,303275.9971968286,396609.4076227103,26973.1087071077,308229.50676200807,3418.7009386938817,1639955.6219743895
Two-price,0.0,354781.724515761,32545.424864005305,273452.84740108,347937.969149195,23116.897109610174,277148.3246711058,2812.1474017539276,1484242.1705249753
Two-price,0.1,354765.8243033588,32733.87412084542,273152.4856828278,347972.5488825946,23184.15472703984,276852.2170411312,2825.934439045511,1483249.6732417764
Two-price,0.25,354762.8436037252,32758.608661233506,273084.84928269614,347967.2190666648,23191.86915104246,276778.1605739297,2858.261373107795,1482934.4686285588
Two-price,0.5,354710.28865436686,32903.72067460842,272891.8516047823,347984.82466000103,23236.828857374563,276582.03942489205,2869.3203375211333,1482264.6304421932
Two-price,1.0,354469.10644445044,33243.327198135594,272116.07252182445,347957.987152519,23421.59693464449,275699.3982805727,3147.0492235501915,1479640.4490340338
Two-price,2.0,353966.8508181163,33602.50183857009,271333.3887911837,347696.0629318803,23616.193690931104,274815.766633811,3289.7619770690435,1476751.4416320738
Two-price,4.0,352585.6784301289,34097.51875197162,270123.9917423853,346585.00085962604,23719.538857376403,273504.97264451237,3540.143300006185,1471225.2469777907
Two-price,6.0,352403.03801952465,34125.76698123994,269640.72217511025,346439.69880002516,23760.33397381381,273020.8080223354,3623.4996494893544,1469544.7736943476
Two-price,8.0,352139.90921949357,34165.399615138456,269499.44583608443,346191.2853140253,23747.791301933503,272876.3005401213,3643.472051930558,1468919.205442451
Two-price,10.0,352121.5345821509,34168.75330215821,269487.2728944669,346175.24492970906,23748.55476211421,272863.6781614362,3643.472051930558,1468869.0049211523
