Threshold,Bid_kW,OOS_Prob_Delivery,OOS_Prob_Shortfall,OOS_Exp_Shortfall_kW,OOS_Max_Shortfall_kW
0.8,283.0712167929137,0.765,0.235,8.403673382792284,63.071216792913674
0.81,280.04967438206984,0.77,0.23,7.701520964184275,60.04967438206984
0.82,279.72597350515116,0.77,0.23,7.627069762492979,59.72597350515116
0.83,275.80027597968376,0.805,0.195,6.789119890466293,55.80027597968376
0.84,275.6624821553428,0.805,0.195,6.762250094719803,55.662482155342786
0.85,260.4274943280702,0.86,0.14,4.110145148744412,40.427494328070225
0.86,257.0974191529831,0.885,0.115,3.6872687485078814,37.09741915298309
0.87,255.31440490159378,0.885,0.115,3.4822221095981103,35.314404901593775
0.88,255.03640719513794,0.885,0.115,3.4502523733556894,35.03640719513794
0.89,252.85538475549924,0.885,0.115,3.1994347927972386,32.855384755499244
0.9,246.434777013077,0.89,0.11,2.4916667845074145,26.434777013076996
0.91,241.5057086984874,0.89,0.11,1.94946926990256,21.50570869848741
0.92,241.0559703477429,0.89,0.11,1.8999980513206653,21.055970347742914
0.93,229.19415080075748,0.91,0.09,0.7536366928812238,9.194150800757484
0.94,220.0,1.0,0.0,0.0,0.0
0.95,220.0,1.0,0.0,0.0,0.0
0.96,220.0,1.0,0.0,0.0,0.0
0.97,220.0,1.0,0.0,0.0,0.0
0.98,220.0,1.0,0.0,0.0,0.0
0.99,220.0,1.0,0.0,0.0,0.0
1.0,220.0,1.0,0.0,0.0,0.0
